"","VARIABLES","grade","spelling_value","math_value","reading_value"
"341","COVID-19 year * High income household","3","0.0724","0.094","0.00549"
"342","COVID-19 year * High income household","3","0.0724","0.094","0.0516"
"343","COVID-19 year * High income household","3","0.0724","0.094","0.033"
"344","COVID-19 year * High income household","3","0.0724","0.094","0.043"
"345","COVID-19 year * High income household","3","0.0724","0.0441","0.00549"
"346","COVID-19 year * High income household","3","0.0724","0.0441","0.0516"
"347","COVID-19 year * High income household","3","0.0724","0.0441","0.033"
"348","COVID-19 year * High income household","3","0.0724","0.0441","0.043"
"349","COVID-19 year * High income household","3","0.0724","0.0186","0.00549"
"350","COVID-19 year * High income household","3","0.0724","0.0186","0.0516"
"351","COVID-19 year * High income household","3","0.0724","0.0186","0.033"
"352","COVID-19 year * High income household","3","0.0724","0.0186","0.043"
"353","COVID-19 year * High income household","4","0.0647","0.122","0.00549"
"354","COVID-19 year * High income household","4","0.0647","0.122","0.0516"
"355","COVID-19 year * High income household","4","0.0647","0.122","0.033"
"356","COVID-19 year * High income household","4","0.0647","0.122","0.043"
"357","COVID-19 year * High income household","4","0.0647","0.094","0.00549"
"358","COVID-19 year * High income household","4","0.0647","0.094","0.0516"
"359","COVID-19 year * High income household","4","0.0647","0.094","0.033"
"360","COVID-19 year * High income household","4","0.0647","0.094","0.043"
"361","COVID-19 year * High income household","4","0.0647","0.0441","0.00549"
"362","COVID-19 year * High income household","4","0.0647","0.0441","0.0516"
"363","COVID-19 year * High income household","4","0.0647","0.0441","0.033"
"364","COVID-19 year * High income household","4","0.0647","0.0441","0.043"
"365","COVID-19 year * High income household","4","0.0647","0.0186","0.00549"
"366","COVID-19 year * High income household","4","0.0647","0.0186","0.0516"
"367","COVID-19 year * High income household","4","0.0647","0.0186","0.033"
"368","COVID-19 year * High income household","4","0.0647","0.0186","0.043"
"369","COVID-19 year * High income household","5","0.00992","0.122","0.00549"
"370","COVID-19 year * High income household","5","0.00992","0.122","0.0516"
"371","COVID-19 year * High income household","5","0.00992","0.122","0.033"
"372","COVID-19 year * High income household","5","0.00992","0.122","0.043"
"373","COVID-19 year * High income household","5","0.00992","0.094","0.00549"
"374","COVID-19 year * High income household","5","0.00992","0.094","0.0516"
"375","COVID-19 year * High income household","5","0.00992","0.094","0.033"
"376","COVID-19 year * High income household","5","0.00992","0.094","0.043"
"377","COVID-19 year * High income household","5","0.00992","0.0441","0.00549"
"378","COVID-19 year * High income household","5","0.00992","0.0441","0.0516"
"379","COVID-19 year * High income household","5","0.00992","0.0441","0.033"
"380","COVID-19 year * High income household","5","0.00992","0.0441","0.043"
"381","COVID-19 year * High income household","5","0.00992","0.0186","0.00549"
"382","COVID-19 year * High income household","5","0.00992","0.0186","0.0516"
"383","COVID-19 year * High income household","5","0.00992","0.0186","0.033"
"384","COVID-19 year * High income household","5","0.00992","0.0186","0.043"
"385","COVID-19 year * Household income missing","2","0.035","-0.0218","-0.0243"
"386","COVID-19 year * Household income missing","2","0.035","-0.0218","0.0611"
"387","COVID-19 year * Household income missing","2","0.035","-0.0218","-0.0627"
"388","COVID-19 year * Household income missing","2","0.035","-0.0218","0.197"
"389","COVID-19 year * Household income missing","2","0.035","0.0881","-0.0243"
"390","COVID-19 year * Household income missing","2","0.035","0.0881","0.0611"
"391","COVID-19 year * Household income missing","2","0.035","0.0881","-0.0627"
"392","COVID-19 year * Household income missing","2","0.035","0.0881","0.197"
"393","COVID-19 year * Household income missing","2","0.035","0.0165","-0.0243"
"394","COVID-19 year * Household income missing","2","0.035","0.0165","0.0611"
"395","COVID-19 year * Household income missing","2","0.035","0.0165","-0.0627"
"396","COVID-19 year * Household income missing","2","0.035","0.0165","0.197"
"397","COVID-19 year * Household income missing","2","0.035","-0.0434","-0.0243"
"398","COVID-19 year * Household income missing","2","0.035","-0.0434","0.0611"
"399","COVID-19 year * Household income missing","2","0.035","-0.0434","-0.0627"
"400","COVID-19 year * Household income missing","2","0.035","-0.0434","0.197"
"401","COVID-19 year * Household income missing","3","0.159","-0.0218","-0.0243"
"402","COVID-19 year * Household income missing","3","0.159","-0.0218","0.0611"
"403","COVID-19 year * Household income missing","3","0.159","-0.0218","-0.0627"
"404","COVID-19 year * Household income missing","3","0.159","-0.0218","0.197"
"405","COVID-19 year * Household income missing","3","0.159","0.0881","-0.0243"
"406","COVID-19 year * Household income missing","3","0.159","0.0881","0.0611"
"407","COVID-19 year * Household income missing","3","0.159","0.0881","-0.0627"
"408","COVID-19 year * Household income missing","3","0.159","0.0881","0.197"
"409","COVID-19 year * Household income missing","3","0.159","0.0165","-0.0243"
"410","COVID-19 year * Household income missing","3","0.159","0.0165","0.0611"
"411","COVID-19 year * Household income missing","3","0.159","0.0165","-0.0627"
"412","COVID-19 year * Household income missing","3","0.159","0.0165","0.197"
